0.jpg,norm,norm,1
1.jpg,norm,norm,1
2.jpg,defect10,defect11,99
3.jpg,norm,norm,1
4.jpg,defect10,defect10,1
5.jpg,norm,norm,1
6.jpg,defect9,defect9,1
7.jpg,defect10,defect10,1
8.jpg,norm,norm,1
9.jpg,defect3,defect3,1
10.jpg,norm,norm,1
11.jpg,defect6,defect6,1
12.jpg,norm,norm,1
13.jpg,norm,norm,1
14.jpg,norm,norm,1
15.jpg,defect7,defect7,1
16.jpg,defect2,defect2,1
17.jpg,norm,norm,1
18.jpg,defect10,defect10,1
19.jpg,defect11,defect11,1
20.jpg,norm,norm,1
21.jpg,defect11,defect11,1
22.jpg,defect1,defect1,1
23.jpg,norm,norm,1
24.jpg,defect6,defect6,1
25.jpg,defect6,defect6,1
26.jpg,defect2,defect2,1
27.jpg,defect5,defect5,1
28.jpg,defect10,defect10,1
29.jpg,defect5,defect5,1
30.jpg,defect5,defect5,1
31.jpg,defect2,defect2,1
32.jpg,norm,norm,1
33.jpg,defect10,defect10,1
34.jpg,defect5,defect5,1
35.jpg,defect10,defect10,1
36.jpg,defect2,defect2,1
37.jpg,defect11,defect11,1
38.jpg,defect11,defect11,1
39.jpg,defect11,defect11,1
40.jpg,defect2,defect2,1
41.jpg,defect11,defect11,1
42.jpg,defect5,defect5,1
43.jpg,defect11,defect11,1
44.jpg,defect5,defect5,1
45.jpg,defect11,defect11,1
46.jpg,norm,norm,1
47.jpg,norm,norm,1
48.jpg,norm,norm,1
49.jpg,defect10,defect10,1
50.jpg,defect4,defect4,1
51.jpg,defect11,defect11,1
52.jpg,defect5,defect5,1
53.jpg,norm,norm,1
54.jpg,norm,norm,1
55.jpg,norm,norm,1
56.jpg,defect10,defect10,1
57.jpg,defect5,defect5,1
58.jpg,defect10,defect10,1
59.jpg,defect10,defect10,1
60.jpg,defect11,defect11,1
61.jpg,norm,norm,1
62.jpg,defect7,defect7,1
63.jpg,defect7,defect7,1
64.jpg,defect8,defect8,1
65.jpg,defect10,defect10,1
66.jpg,defect5,defect5,1
67.jpg,defect11,defect11,1
68.jpg,defect2,defect2,1
69.jpg,defect6,defect6,1
70.jpg,defect11,defect11,1
71.jpg,defect4,defect4,1
72.jpg,norm,norm,1
73.jpg,norm,norm,1
74.jpg,norm,norm,1
75.jpg,norm,norm,1
76.jpg,defect5,defect5,1
77.jpg,defect6,defect10,99
78.jpg,defect2,defect2,1
79.jpg,defect5,defect5,1
80.jpg,norm,norm,1
81.jpg,defect7,defect7,1
82.jpg,defect5,defect5,1
83.jpg,defect4,defect4,1
84.jpg,defect4,defect4,1
85.jpg,defect3,defect3,1
86.jpg,defect5,defect5,1
87.jpg,defect11,defect11,1
88.jpg,norm,norm,1
89.jpg,norm,norm,1
90.jpg,defect3,defect3,1
91.jpg,defect10,defect10,1
92.jpg,norm,norm,1
93.jpg,norm,norm,1
94.jpg,norm,norm,1
95.jpg,defect7,defect7,1
96.jpg,norm,norm,1
97.jpg,norm,norm,1
98.jpg,norm,norm,1
99.jpg,defect5,defect5,1
100.jpg,defect5,defect5,1
101.jpg,defect10,defect10,1
102.jpg,defect10,defect10,1
103.jpg,defect10,defect10,1
104.jpg,defect11,defect11,1
105.jpg,norm,norm,1
106.jpg,defect5,defect5,1
107.jpg,norm,norm,1
108.jpg,defect3,defect3,1
